decada,nome_regiao,estado,nome_estado,urbano_rural,grupo_etario,sexid,saldo_migratorio,saldo_migratorio_indireto,populacao_t,populacao_t_10,taxa_liquida_migracao,taxa_liquida_migracao_ind
1960-1970,Norte,AC,Acre,Rural,0-4,Homens,-1523.74578233785,-4571.23734701356,12443,16071,-0.0948133770355207,-0.284440131106562
1960-1970,Norte,AC,Acre,Rural,0-4,Mulheres,-1578.44316415035,-4735.32949245104,11942,15225,-0.103674427858808,-0.311023283576423
1960-1970,Norte,AC,Acre,Rural,0-4,Total,-3102.1889464882,-9306.56683946459,24385,31296,-0.0991241355600779,-0.297372406680234
1960-1970,Norte,AC,Acre,Rural,5-9,Homens,-2597.77909871667,-865.926366238889,10874,14189,-0.183084015696432,-0.0610280052321439
1960-1970,Norte,AC,Acre,Rural,5-9,Mulheres,-2911.85983112546,-970.619943708485,10241,13304,-0.218871003542202,-0.072957001180734
1960-1970,Norte,AC,Acre,Rural,5-9,Total,-5509.63892984212,-1836.54630994737,21115,27493,-0.200401517835163,-0.0668005059450542
1960-1970,Norte,AC,Acre,Rural,10-14,Homens,-2072.52379058377,0,8321,10930,-0.189617913136667,0
1960-1970,Norte,AC,Acre,Rural,10-14,Mulheres,-2385.93522592799,0,7883,10462,-0.228057276422098,0
1960-1970,Norte,AC,Acre,Rural,10-14,Total,-4458.45901651176,0,16204,21392,-0.208417119320856,0
1960-1970,Norte,AC,Acre,Rural,15-19,Homens,-1775.97781883745,0,6542,8726,-0.203527139449628,0
1960-1970,Norte,AC,Acre,Rural,15-19,Mulheres,-3003.44850470596,0,6271,7791,-0.38550231096213,0
1960-1970,Norte,AC,Acre,Rural,15-19,Total,-4779.42632354341,0,12813,16517,-0.289364068749979,0
1960-1970,Norte,AC,Acre,Rural,20-24,Homens,-1161.90057424169,0,5921,6667,-0.174276372317638,0
1960-1970,Norte,AC,Acre,Rural,20-24,Mulheres,-1999.7146654047,0,5097,5875,-0.340376964324204,0
1960-1970,Norte,AC,Acre,Rural,20-24,Total,-3161.6152396464,0,11018,12542,-0.252082222902758,0
1960-1970,Norte,AC,Acre,Rural,25-29,Homens,-663.432786203795,0,4787,5322,-0.124658546825215,0
1960-1970,Norte,AC,Acre,Rural,25-29,Mulheres,-950.651552392947,0,3938,4677,-0.203260969081237,0
1960-1970,Norte,AC,Acre,Rural,25-29,Total,-1614.08433859674,0,8725,9999,-0.161424576317306,0
1960-1970,Norte,AC,Acre,Rural,30-34,Homens,-969.768898719302,0,4089,4522,-0.214455749385074,0
1960-1970,Norte,AC,Acre,Rural,30-34,Mulheres,-772.321900913508,0,3140,3741,-0.20644798206723,0
1960-1970,Norte,AC,Acre,Rural,30-34,Total,-1742.09079963281,0,7229,8263,-0.210830303719328,0
1960-1970,Norte,AC,Acre,Rural,35-39,Homens,-659.30443449542,0,3968,4045,-0.162992443632984,0
1960-1970,Norte,AC,Acre,Rural,35-39,Mulheres,-518.909849365692,0,2640,3266,-0.158882378862735,0
1960-1970,Norte,AC,Acre,Rural,35-39,Total,-1178.21428386111,0,6608,7311,-0.16115637858858,0
1960-1970,Norte,AC,Acre,Rural,40-44,Homens,-480.370333488811,0,3132,3670,-0.130891099043273,0
1960-1970,Norte,AC,Acre,Rural,40-44,Mulheres,-580.595750310895,0,2053,2541,-0.228491046954307,0
1960-1970,Norte,AC,Acre,Rural,40-44,Total,-1060.96608379971,0,5185,6211,-0.170820493286058,0
1960-1970,Norte,AC,Acre,Rural,45-49,Homens,-757.342245385241,0,2249,2844,-0.266294741696639,0
1960-1970,Norte,AC,Acre,Rural,45-49,Mulheres,-560.425020782343,0,1628,1762,-0.318061873315745,0
1960-1970,Norte,AC,Acre,Rural,45-49,Total,-1317.76726616758,0,3877,4606,-0.286097973549193,0
1960-1970,Norte,AC,Acre,Rural,50-54,Homens,-525.883558940718,0,1462,2270,-0.23166676605318,0
1960-1970,Norte,AC,Acre,Rural,50-54,Mulheres,-535.890182140177,0,981,1355,-0.395490909328544,0
1960-1970,Norte,AC,Acre,Rural,50-54,Total,-1061.77374108089,0,2443,3625,-0.292903100987833,0
1960-1970,Norte,AC,Acre,Rural,55-59,Homens,-397.150629462773,0,1096,1467,-0.270722992135496,0
1960-1970,Norte,AC,Acre,Rural,55-59,Mulheres,-318.317150444201,0,662,1072,-0.29693764033974,0
1960-1970,Norte,AC,Acre,Rural,55-59,Total,-715.467779906974,0,1758,2539,-0.281791169715232,0
1960-1970,Norte,AC,Acre,Rural,60+,Homens,-860.501667680863,0,2864,2488,-0.345860798907099,0
1960-1970,Norte,AC,Acre,Rural,60+,Mulheres,-495.955263047333,0,1179,1508,-0.328882800429266,0
1960-1970,Norte,AC,Acre,Rural,60+,Total,-1356.4569307282,0,4043,3996,-0.339453686368417,0
1960-1970,Norte,AC,Acre,Total,0-4,Homens,-1050.00402203937,-3150.0120661181,15298,20961,-0.0500932217947314,-0.150279665384194
1960-1970,Norte,AC,Acre,Total,0-4,Mulheres,-1119.80861680724,-3359.42585042171,14691,19969,-0.0560773507339995,-0.168232052201998
1960-1970,Norte,AC,Acre,Total,0-4,Total,-2169.8126388466,-6509.4379165398,29989,40930,-0.0530127690898266,-0.15903830726948
1960-1970,Norte,AC,Acre,Total,5-9,Homens,-1611.34778394475,-537.115927981582,13686,18603,-0.0866176307017549,-0.0288725435672516
1960-1970,Norte,AC,Acre,Total,5-9,Mulheres,-1948.77184499723,-649.590614999077,12772,17605,-0.110694225787971,-0.036898075262657
1960-1970,Norte,AC,Acre,Total,5-9,Total,-3560.11962894198,-1186.70654298066,26458,36208,-0.098324117016736,-0.0327747056722453
1960-1970,Norte,AC,Acre,Total,10-14,Homens,-982.29087269925,0,10584,15015,-0.0654206375424076,0
1960-1970,Norte,AC,Acre,Total,10-14,Mulheres,-984.678140817456,0,10234,14834,-0.0663798126477994,0
1960-1970,Norte,AC,Acre,Total,10-14,Total,-1966.96901351671,0,20818,29849,-0.065897316945851,0
1960-1970,Norte,AC,Acre,Total,15-19,Homens,-952.662367214196,0,8117,12270,-0.0776415947199834,0
1960-1970,Norte,AC,Acre,Total,15-19,Mulheres,-1477.278782706,0,8150,11990,-0.123209239591827,0
1960-1970,Norte,AC,Acre,Total,15-19,Total,-2429.9411499202,0,16267,24260,-0.100162454654584,0
1960-1970,Norte,AC,Acre,Total,20-24,Homens,-743.755507576998,0,7025,9219,-0.0806763756998588,0
1960-1970,Norte,AC,Acre,Total,20-24,Mulheres,-1224.46722926326,0,6504,9002,-0.136021687320958,0
1960-1970,Norte,AC,Acre,Total,20-24,Total,-1968.22273684026,0,13529,18221,-0.108019468571443,0
1960-1970,Norte,AC,Acre,Total,25-29,Homens,-283.775140272187,0,5667,7146,-0.0397110467775241,0
1960-1970,Norte,AC,Acre,Total,25-29,Mulheres,-586.443625851199,0,5129,6730,-0.0871387259808616,0
1960-1970,Norte,AC,Acre,Total,25-29,Total,-870.218766123386,0,10796,13876,-0.0627139497062111,0
1960-1970,Norte,AC,Acre,Total,30-34,Homens,-571.274998411699,0,5026,5948,-0.0960448887713011,0
1960-1970,Norte,AC,Acre,Total,30-34,Mulheres,-446.756141318482,0,4118,5315,-0.0840557180279364,0
1960-1970,Norte,AC,Acre,Total,30-34,Total,-1018.03113973018,0,9144,11263,-0.0903872094229052,0
